Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Dup_v1	Dup_v2	Merge_v1	Merge_v2	MA_gaps_v1	MA_gaps_v2	MA_extra_v1	MA_extra_v2	MA_conserv_v1	MA_conserv_v2
0	no	no	0.35	0.4	-0.41	-0.44	1.0	1.0	0.06	0.05	0.02	0.03	0.96	1.0
0	yes	yes	0.33	0.2	-0.07	-0.11	1.0	1.0	-	-	-	-	-	-
0	no	no	0.25	0.38	-0.44	-0.42	1.0	1.0	0.02	0.01	0.02	0.02	0.79	0.69
0	yes	yes	0.35	0.35	0.0	0.0	0.03	0.03	0.08	0.08	0.01	0.01	0.98	0.98
0	no	no	0.05	0.05	-1.03	-0.83	1.0	1.0	0.03	0.02	0.06	0.04	0.83	1.0
0	no	no	0.01	0.01	-0.03	-0.03	0.0	0.0	0.01	0.01	0.56	0.54	0.86	1.0
13	no	yes	0.17	0.14	0.16	-0.14	1.0	1.0	0.0	0.0	0.0	0.0	0.92	0.98
0	no	no	0.29	0.29	NaN	NaN	1.0	1.0	-	-	-	-	-	-
0	no	no	0.26	0.24	-0.11	-0.11	1.0	1.0	0.24	0.22	0.02	0.01	0.84	0.85
0	no	no	0.05	0.13	-0.08	-0.1	1.0	1.0	0.73	0.71	0.0	0.0	0.88	0.93
0	no	yes	0.47	0.07	-0.05	-0.03	1.0	1.0	0.06	0.01	0.05	0.0	0.91	1.0
0	no	no	0.07	0.07	0.0	0.0	1.0	1.0	0.13	0.14	0.06	0.06	0.8	0.8
0	no	no	0.4	0.44	-0.31	-0.32	1.0	1.0	0.05	0.07	0.0	0.0	0.97	0.97
25	no	no	0.09	0.09	-0.66	-0.67	0.03	0.13	0.05	0.06	0.36	0.39	0.92	0.5
0	yes	yes	0.16	0.16	-0.65	-0.67	1.0	1.0	0.34	0.34	0.0	0.0	1.0	1.0
-12	yes	no	0.4	0.44	0.0	0.0	1.0	1.0	-	-	-	-	-	-
12	no	yes	0.34	0.38	-0.8	-0.83	1.0	1.0	0.02	0.01	0.0	0.0	0.95	0.95
0	yes	yes	0.2	0.48	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.01	0.89	0.9
0	yes	yes	0.05	0.05	-2.88	-2.98	1.0	1.0	0.17	0.16	0.0	0.0	0.8	0.84
0	no	no	0.23	0.22	-0.41	-0.46	1.0	1.0	0.4	0.37	0.02	0.03	0.48	0.67
0	yes	yes	0.23	0.31	-0.62	-1.09	0.01	0.0	0.13	0.04	0.12	0.08	0.9	0.95
0	yes	yes	0.44	0.21	-0.01	-0.01	1.0	1.0	0.04	0.08	0.05	0.01	0.89	0.89
25	no	yes	0.13	0.32	-0.59	-0.41	1.0	1.0	0.52	0.43	0.01	0.0	0.82	1.0
0	yes	yes	0.33	0.49	0.0	0.0	0.02	0.02	0.16	0.01	0.02	0.02	0.85	1.0
-13	no	no	0.21	0.18	0.0	0.0	1.0	1.0	0.11	0.11	0.0	0.01	0.95	0.94
12	yes	yes	0.14	0.27	-0.03	-0.06	1.0	1.0	0.03	0.04	0.02	0.07	0.73	0.73
0	yes	yes	0.36	0.46	-2.2	-1.34	1.0	1.0	0.09	0.03	0.0	0.01	0.99	1.0
0	no	no	0.0	0.0	-0.42	0.0	1.0	1.0	-	-	-	-	-	-
12	no	yes	0.31	0.43	0.0	0.0	1.0	1.0	0.13	0.09	0.0	0.01	0.82	0.82
0	yes	yes	0.4	0.4	-0.33	-0.31	1.0	1.0	0.81	0.8	0.01	0.01	0.36	0.39
-12	yes	no	0.45	0.41	-0.24	-0.29	1.0	1.0	0.14	0.02	0.01	0.04	1.0	0.98
0	yes	yes	0.46	0.3	-0.09	-0.16	1.0	1.0	0.11	0.01	0.0	0.01	0.91	0.98
0	yes	yes	0.47	0.35	-0.14	-0.13	1.0	1.0	0.01	0.02	0.0	0.0	0.93	1.0
0	yes	yes	0.33	0.34	-0.06	-0.06	0.5	0.5	0.09	0.09	0.18	0.17	0.94	0.91
0	no	no	0.34	0.33	-0.16	-0.06	1.0	1.0	0.16	0.12	0.0	0.0	0.97	1.0
0	yes	yes	0.45	0.45	-0.46	-0.44	1.0	1.0	0.06	0.07	0.01	0.0	0.91	0.9
-12	yes	yes	0.34	0.17	-1.12	-1.35	1.0	1.0	0.02	0.02	0.0	0.13	0.98	0.98
0	yes	yes	0.5	0.36	-0.09	-0.09	1.0	1.0	0.0	0.0	0.0	0.01	0.98	0.98
0	yes	no	0.4	0.12	-0.08	-0.09	1.0	1.0	0.39	0.07	0.0	0.01	0.94	1.0
0	no	no	0.09	0.09	-0.41	-0.41	1.0	1.0	0.0	0.01	0.01	0.0	0.99	1.0
0	no	no	0.24	0.24	0.0	0.0	1.0	1.0	0.05	0.04	0.04	0.04	1.0	1.0
0	no	no	0.02	0.1	-0.3	-0.28	1.0	1.0	0.01	0.01	0.02	0.01	0.81	0.83
-12	yes	no	0.46	0.35	0.08	0.01	1.0	1.0	0.14	0.06	0.01	0.06	1.0	1.0
0	no	no	0.25	0.34	-0.04	-0.05	1.0	1.0	0.25	0.3	0.01	0.01	0.92	0.9
25	yes	yes	0.42	0.38	0.86	-5.58	0.13	0.06	0.31	0.33	0.03	0.02	0.78	0.79
0	no	no	0.01	0.01	0.0	0.0	1.0	1.0	0.37	0.37	0.0	0.0	0.89	0.89
0	no	no	0.09	0.08	0.0	0.0	1.0	1.0	0.04	0.02	0.01	0.0	0.96	1.0
13	no	no	0.0	0.36	0.0	-0.36	1.0	1.0	0.76	0.11	0.0	0.01	0.2	0.79
0	no	no	0.03	0.03	-19.64	-19.52	1.0	1.0	0.01	0.01	0.0	0.0	0.97	0.97
0	no	no	0.04	0.04	0.0	0.0	1.0	1.0	0.34	0.35	0.0	0.0	0.81	0.81
0	no	no	0.0	0.02	0.0	0.0	1.0	1.0	0.04	0.05	0.07	0.01	0.96	1.0
0	no	no	0.01	0.01	-0.44	-0.05	1.0	1.0	0.14	0.18	0.01	0.01	0.83	0.83
-13	no	no	0.31	0.06	0.0	0.0	1.0	1.0	0.15	0.01	0.0	0.1	1.0	1.0
0	no	no	0.05	0.03	-0.33	-0.32	1.0	1.0	0.01	0.01	0.0	0.0	0.93	0.93
37	no	yes	0.31	0.43	-0.44	-0.7	1.0	1.0	0.28	0.0	0.0	0.0	0.56	1.0
0	yes	yes	0.44	0.43	-0.17	-0.21	1.0	1.0	0.02	0.02	0.01	0.01	0.98	0.98
-38	yes	no	0.03	0.2	1.85	2.11	1.0	0.0	0.71	0.18	0.0	0.16	0.5	0.29
12	no	yes	0.21	0.33	0.0	0.0	1.0	1.0	0.14	0.08	0.07	0.12	0.97	0.99
-12	yes	no	0.49	0.38	-1.13	-1.7	1.0	1.0	0.38	0.29	0.0	0.0	0.79	0.81
13	no	no	0.19	0.22	0.0	1.45	1.0	1.0	0.1	0.12	0.1	0.11	0.48	0.62
13	no	yes	0.05	0.17	-0.6	-0.73	1.0	1.0	0.49	0.23	0.0	0.0	0.55	0.87
0	no	no	0.08	0.08	-0.02	-0.85	1.0	1.0	0.0	0.02	0.03	0.06	0.9	0.9
25	no	no	0.12	0.05	-0.77	0.0	1.0	0.5	0.37	0.06	0.0	0.02	0.94	0.98
0	yes	yes	0.29	0.29	-1.59	-1.68	1.0	1.0	0.41	0.39	0.01	0.01	0.42	0.5
0	yes	yes	0.5	0.36	-0.04	0.0	0.06	1.0	0.33	0.36	0.03	0.03	0.88	0.62
0	yes	yes	0.24	0.44	-0.53	-0.4	1.0	1.0	0.14	0.12	0.01	0.04	0.88	0.97
0	no	no	0.19	0.19	-0.52	-0.53	1.0	1.0	0.3	0.3	0.01	0.01	0.83	0.85
0	yes	yes	0.45	0.46	-0.5	-0.49	1.0	1.0	0.27	0.27	0.03	0.03	1.0	1.0
0	yes	yes	0.42	0.5	-0.09	-0.02	1.0	1.0	0.28	0.27	0.07	0.07	1.0	1.0
-12	yes	no	0.37	0.24	-0.13	-0.11	1.0	1.0	0.06	0.13	0.04	0.03	0.49	0.34
0	yes	yes	0.35	0.33	0.0	0.0	1.0	1.0	0.11	0.08	0.1	0.1	0.96	0.96
12	no	yes	0.37	0.47	-0.06	-0.06	1.0	1.0	0.07	0.03	0.01	0.01	0.96	0.97
12	no	no	0.44	0.44	0.0	0.0	-	-	-	-	-	-	-	-
37	yes	yes	0.19	0.4	-0.03	-0.11	1.0	1.0	0.11	0.01	0.02	0.02	0.78	0.92
0	yes	yes	0.25	0.25	-0.2	-0.21	1.0	1.0	0.01	0.01	0.0	0.0	0.98	0.97
25	yes	yes	0.46	0.46	-0.01	-0.01	1.0	1.0	0.04	0.05	0.02	0.03	0.79	0.83
0	no	no	0.06	0.0	-0.26	-0.09	1.0	1.0	0.57	0.54	0.01	0.0	0.78	0.75
25	no	no	0.16	0.18	0.0	-0.24	0.02	1.0	0.12	0.1	0.02	0.01	0.85	0.88
-25	yes	no	0.22	0.1	0.0	0.0	1.0	1.0	0.34	0.37	0.01	0.0	0.97	0.9
25	no	yes	0.03	0.24	-0.93	-0.5	1.0	1.0	0.54	0.22	0.0	0.01	0.55	0.82
-13	no	no	0.27	0.13	-1.97	0.0	1.0	1.0	0.13	0.19	0.21	0.2	0.88	0.86
12	no	yes	0.42	0.48	-1.34	-1.19	1.0	1.0	0.03	0.04	0.11	0.1	1.0	0.98
0	no	no	0.28	0.28	0.0	0.0	1.0	1.0	0.24	0.24	0.02	0.01	0.91	0.91
37	no	yes	0.32	0.33	-0.61	-0.43	1.0	1.0	0.28	0.02	0.0	0.01	0.63	0.86
0	yes	yes	0.39	0.39	-1.41	-1.38	1.0	1.0	0.0	0.0	0.0	0.0	0.99	0.99
37	yes	yes	0.08	0.31	-0.1	-0.33	1.0	1.0	0.22	0.06	0.0	0.1	0.98	0.99
0	yes	yes	0.5	0.49	-0.72	-0.72	1.0	1.0	0.18	0.18	0.0	0.0	0.92	0.92
25	no	no	0.01	0.19	-0.37	-0.18	1.0	1.0	0.64	0.01	0.0	0.0	0.49	0.93
13	yes	no	0.43	0.4	0.1	-0.01	1.0	1.0	0.24	0.11	0.02	0.04	0.94	0.93
0	no	no	0.0	0.01	-0.18	0.0	1.0	0.13	-	-	-	-	-	-
50	no	yes	0.01	0.28	-30.37	-12.63	1.0	1.0	0.42	0.12	0.03	0.03	0.55	0.83
-13	no	no	0.35	0.1	0.11	-0.0	1.0	1.0	0.0	0.0	0.12	0.0	1.0	1.0
0	no	no	0.12	0.12	-30.17	-30.11	1.0	1.0	0.02	0.02	0.02	0.02	0.96	0.96
0	yes	yes	0.26	0.28	0.0	-8.81	0.25	0.25	0.1	0.11	0.0	0.0	0.96	0.96
0	yes	yes	0.45	0.4	0.0	0.0	1.0	1.0	0.0	0.11	0.0	0.0	1.0	1.0
0	no	no	0.0	0.0	0.0	0.0	1.0	1.0	0.22	0.19	0.01	0.0	0.44	0.46
0	no	no	0.08	0.08	-4.48	-4.55	1.0	1.0	0.09	0.09	0.01	0.0	0.95	0.95
0	no	no	0.12	0.08	-0.06	-0.07	1.0	1.0	0.71	0.75	0.0	0.0	0.07	1.0
25	no	no	0.01	0.0	-10.69	-5.7	1.0	1.0	0.52	0.0	0.15	0.15	0.14	1.0
0	yes	yes	0.42	0.42	-0.09	-0.09	1.0	1.0	0.14	0.19	0.0	0.0	0.8	0.8
0	yes	yes	0.33	0.33	0.36	0.36	1.0	1.0	-	-	-	-	-	-
0	yes	yes	0.49	0.47	-0.17	-0.15	1.0	1.0	0.63	0.61	0.0	0.0	0.95	0.96
0	no	no	0.08	0.18	-0.45	-0.39	1.0	1.0	0.01	0.04	0.05	0.05	1.0	1.0
0	no	no	0.07	0.1	-0.58	-0.63	1.0	1.0	0.13	0.13	0.01	0.01	0.95	0.95
-38	yes	no	0.13	0.0	-0.21	0.0	1.0	1.0	0.09	0.04	0.16	0.38	0.99	1.0
0	yes	yes	0.38	0.47	0.0	0.0	1.0	1.0	0.06	0.06	0.06	0.05	0.87	0.87
12	yes	yes	0.11	0.21	-0.02	-0.11	1.0	1.0	0.33	0.26	0.0	0.0	1.0	1.0
37	no	yes	0.21	0.2	0.0	0.0	1.0	1.0	0.07	0.16	0.02	0.0	0.78	0.86
0	no	no	0.44	0.25	0.0	0.0	1.0	1.0	-	-	-	-	-	-
0	no	no	0.2	0.21	0.0	0.0	1.0	1.0	0.05	0.05	0.01	0.0	0.79	0.79
-12	yes	no	0.5	0.48	-0.68	-0.72	1.0	1.0	0.23	0.21	0.0	0.0	0.97	0.97
0	yes	yes	0.5	0.48	-1.27	-1.32	1.0	1.0	0.05	0.03	0.0	0.0	0.89	0.89
0	no	no	0.0	0.08	-0.43	-0.09	1.0	1.0	0.51	0.01	0.0	0.0	0.54	0.68
0	no	no	0.08	0.08	-0.12	-0.24	1.0	1.0	0.54	0.53	0.0	0.0	0.8	0.75
50	no	yes	0.01	0.35	-0.28	-1.82	1.0	1.0	0.27	0.13	0.0	0.0	0.87	0.94
0	yes	yes	0.34	0.35	-1.1	-0.83	0.25	0.25	0.33	0.3	0.01	0.01	0.92	1.0
0	no	no	0.17	0.1	-0.16	-0.31	0.03	0.03	0.04	0.02	0.0	0.01	0.99	0.99
50	no	yes	0.0	0.22	NaN	-0.01	1.0	1.0	0.68	0.02	0.0	0.0	0.66	1.0
12	no	yes	0.35	0.36	0.0	0.0	1.0	1.0	0.24	0.22	0.04	0.05	0.95	1.0
0	yes	yes	0.11	0.03	-0.1	-0.11	1.0	1.0	0.54	0.58	0.0	0.0	0.83	0.84
0	yes	yes	0.39	0.39	-0.4	-0.37	1.0	1.0	0.16	0.2	0.02	0.03	0.88	0.86
0	yes	yes	0.49	0.33	-1.87	-2.91	1.0	1.0	0.13	0.04	0.01	0.01	0.84	0.92
0	yes	yes	0.03	0.01	0.0	0.0	1.0	1.0	0.43	0.46	0.0	0.01	0.75	0.75
-25	no	no	0.17	0.08	-0.64	-0.54	1.0	0.02	0.17	0.06	0.01	0.06	0.99	0.99
25	no	no	0.12	0.18	-1.07	-1.2	1.0	1.0	0.0	0.01	0.01	0.0	0.8	0.81
0	no	no	0.37	0.49	0.0	0.0	1.0	1.0	0.29	0.34	0.04	0.1	0.53	0.17
0	yes	yes	0.29	0.25	-0.16	-0.11	1.0	1.0	0.02	0.02	0.01	0.0	0.5	0.5
-12	yes	yes	0.28	0.18	-0.07	-0.04	1.0	1.0	0.23	0.25	0.0	0.0	0.86	0.85
0	no	no	0.06	0.06	-0.02	-0.02	1.0	1.0	0.32	0.31	0.0	0.0	0.96	0.97
0	no	no	0.09	0.07	0.0	0.0	1.0	1.0	0.08	0.12	0.0	0.01	0.76	0.72
-25	yes	no	0.24	0.15	0.0	1.75	1.0	1.0	0.16	0.13	0.0	0.08	0.86	0.87
0	yes	yes	0.44	0.44	-0.0	-0.0	1.0	1.0	0.04	0.04	0.0	0.0	0.9	0.9
0	no	no	0.0	0.0	0.0	-0.55	1.0	1.0	-	-	-	-	-	-
0	no	no	0.25	0.25	0.15	0.14	0.25	0.25	0.05	0.09	0.05	0.03	1.0	1.0
37	no	yes	0.28	0.38	-0.62	-0.45	0.01	0.06	0.65	0.71	0.02	0.02	0.49	0.73
0	yes	yes	0.21	0.4	-0.11	-0.2	1.0	1.0	0.13	0.11	0.02	0.02	0.98	1.0
0	yes	yes	0.27	0.44	-0.29	-0.31	1.0	1.0	0.0	0.03	0.0	0.0	1.0	1.0
0	yes	yes	0.5	0.5	-0.13	-0.13	1.0	1.0	0.22	0.22	0.07	0.07	0.83	0.83
25	no	no	0.4	0.29	0.18	0.14	1.0	1.0	0.29	0.14	0.02	0.03	0.94	0.96
50	no	yes	0.0	0.38	-0.16	-1.22	1.0	1.0	0.67	0.05	0.0	0.01	0.44	0.98
0	yes	yes	0.11	0.11	0.12	0.12	1.0	1.0	0.12	0.12	0.0	0.0	0.96	0.96
0	yes	yes	0.28	0.27	-0.45	-0.45	1.0	1.0	0.18	0.19	0.0	0.0	1.0	1.0
-13	no	no	0.22	0.16	0.0	0.0	1.0	1.0	0.06	0.05	0.07	0.13	0.85	0.82
0	no	no	0.02	0.02	0.0	0.06	0.0	0.0	0.01	0.01	0.48	0.48	1.0	1.0
12	yes	no	0.12	0.03	0.0	-0.73	1.0	0.5	0.29	0.03	0.01	0.11	0.85	0.82
0	yes	yes	0.35	0.34	0.0	0.0	1.0	1.0	0.05	0.11	0.01	0.01	0.94	1.0
0	no	no	0.32	0.22	0.0	0.0	1.0	1.0	0.11	0.04	0.0	0.05	0.96	0.96
0	no	no	0.0	0.0	-0.3	-0.28	1.0	1.0	0.69	0.67	0.0	0.01	0.39	0.39
-25	yes	no	0.24	0.17	-0.2	-0.35	1.0	1.0	0.04	0.03	0.02	0.02	0.91	1.0
25	yes	yes	0.44	0.42	0.11	-0.14	1.0	1.0	0.02	0.13	0.0	0.0	0.57	1.0
0	no	no	0.38	0.36	-15.52	-9.15	1.0	1.0	0.11	0.07	0.01	0.02	0.98	0.99
25	no	no	0.05	0.04	0.0	0.0	1.0	1.0	0.55	0.03	0.01	0.02	0.47	0.93
0	no	no	0.33	0.21	0.0	0.0	1.0	1.0	0.19	0.06	0.0	0.02	0.9	0.9
25	yes	yes	0.22	0.26	-0.33	-4.23	1.0	0.5	0.4	0.07	0.0	0.0	0.89	0.96
0	no	no	0.22	0.2	-0.02	-0.02	0.5	0.5	0.12	0.11	0.03	0.03	0.96	0.95
0	no	no	0.0	0.0	-0.89	-0.6	1.0	1.0	0.63	0.58	0.0	0.0	0.32	0.4
0	no	no	0.23	0.23	0.0	0.0	0.25	0.25	0.29	0.32	0.0	0.0	0.75	0.72
12	no	yes	0.25	0.3	0.76	0.61	1.0	1.0	0.03	0.22	0.2	0.03	0.0	1.0
0	yes	yes	0.49	0.49	-0.1	-0.1	1.0	1.0	0.67	0.67	0.0	0.0	0.9	0.9
-13	yes	yes	0.18	0.25	0.0	0.46	0.5	1.0	0.02	0.01	0.0	0.05	1.0	1.0
37	yes	yes	0.12	0.25	-4.4	-3.12	1.0	1.0	0.15	0.0	0.0	0.0	0.78	0.9
0	no	no	0.0	0.02	0.0	-0.29	1.0	1.0	0.14	0.05	0.01	0.01	0.96	0.96
0	yes	yes	0.22	0.24	-0.16	-0.21	1.0	1.0	0.18	0.18	0.03	0.02	0.78	0.77
0	no	no	0.35	0.28	0.0	0.0	1.0	1.0	0.2	0.06	0.0	0.0	0.91	0.94
-12	yes	yes	0.38	0.19	0.0	0.27	1.0	1.0	0.69	0.47	0.01	0.0	0.19	0.93
0	yes	yes	0.24	0.28	-1.23	0.0	1.0	1.0	0.1	0.03	0.02	0.01	0.89	0.97
-13	no	no	0.22	0.16	-15.24	-12.75	1.0	1.0	0.06	0.07	0.01	0.05	0.94	0.92
0	no	no	0.23	0.24	0.0	0.0	0.06	0.06	0.42	0.42	0.0	0.0	0.71	0.72
-25	no	no	0.42	0.38	0.0	0.0	0.13	0.13	0.13	0.14	0.02	0.05	0.94	0.5
0	no	no	0.26	0.26	0.0	0.0	1.0	1.0	0.36	0.29	0.0	0.0	0.73	1.0
0	no	no	0.06	0.06	-2.78	-2.79	1.0	1.0	0.02	0.02	0.19	0.19	0.98	0.98
12	no	no	0.44	0.06	-1.79	-1.27	1.0	1.0	-	-	-	-	-	-
13	yes	no	0.46	0.23	0.0	0.0	1.0	1.0	0.31	0.07	0.0	0.0	0.96	0.98
25	no	no	0.03	0.06	-0.63	-0.5	0.0	0.25	0.14	0.16	0.13	0.01	1.0	0.96
-38	no	no	0.39	0.0	-0.24	-0.37	1.0	1.0	0.01	0.58	0.07	0.0	0.85	0.19
0	no	no	0.16	0.07	0.0	-0.19	1.0	1.0	0.15	0.04	0.0	0.0	0.86	1.0
0	no	no	0.07	0.04	0.0	-0.01	1.0	1.0	0.07	0.01	0.01	0.0	0.66	0.72
12	no	no	0.22	0.05	0.0	0.0	1.0	0.25	0.47	0.04	0.02	0.17	0.08	0.99
0	yes	yes	0.21	0.2	-6.71	-7.0	1.0	1.0	0.02	0.03	0.0	0.03	0.97	1.0
0	yes	yes	0.3	0.25	-0.57	-0.53	1.0	1.0	0.2	0.22	0.01	0.01	0.88	0.88
0	yes	yes	0.34	0.47	0.0	0.0	1.0	1.0	0.24	0.21	0.0	0.0	0.86	0.8
0	no	no	0.44	0.44	-0.29	-0.29	1.0	1.0	0.27	0.27	0.0	0.0	0.7	0.7
0	yes	no	0.44	0.06	0.0	0.0	1.0	0.13	0.38	0.1	0.01	0.02	0.93	0.95
0	no	no	0.01	0.0	-0.06	-0.29	1.0	1.0	0.46	0.5	0.0	0.0	0.43	0.44
0	yes	yes	0.38	0.23	-0.03	-0.04	1.0	1.0	0.0	0.0	0.01	0.03	0.99	1.0
50	no	yes	0.0	0.46	-0.04	-1.12	1.0	1.0	0.39	0.19	0.0	0.05	0.84	0.87
25	no	yes	0.06	0.35	-0.0	-0.64	1.0	1.0	0.17	0.03	0.0	0.0	1.0	0.89
25	no	no	0.05	0.06	-0.27	-0.05	1.0	1.0	0.46	0.03	0.02	0.09	0.48	0.88
12	yes	yes	0.11	0.32	0.0	0.0	1.0	1.0	0.12	0.05	0.0	0.02	0.94	1.0
0	yes	yes	0.29	0.29	0.0	0.0	1.0	1.0	0.09	0.09	0.03	0.03	1.0	1.0
0	yes	yes	0.02	0.08	-1.21	-0.49	0.25	0.25	0.22	0.26	0.0	0.0	0.9	1.0
25	yes	yes	0.02	0.16	0.0	0.0	1.0	1.0	0.22	0.01	0.0	0.02	0.84	1.0
0	no	no	0.26	0.24	-0.49	-0.62	1.0	1.0	0.09	0.09	0.13	0.12	0.92	0.92
-13	no	no	0.23	0.16	-11.91	0.0	0.06	0.13	0.05	0.03	0.11	0.13	0.93	0.93
50	no	yes	0.11	0.31	0.0	0.0	1.0	1.0	0.51	0.18	0.02	0.05	0.83	0.91
25	no	yes	0.18	0.44	-0.24	-0.19	1.0	1.0	0.17	0.14	0.0	0.06	0.9	0.9
12	no	yes	0.24	0.35	-0.17	-0.12	1.0	1.0	0.13	0.04	0.0	0.04	0.96	0.96
25	yes	no	0.05	0.47	-0.18	-0.23	1.0	1.0	0.09	0.01	0.01	0.0	0.4	1.0
-12	yes	yes	0.46	0.14	0.0	0.0	1.0	1.0	0.07	0.01	0.02	0.04	0.94	1.0
0	yes	yes	0.49	0.43	-1.72	0.0	0.03	0.03	0.1	0.14	0.0	0.03	1.0	1.0
