Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Dup_v1	Dup_v2	Merge_v1	Merge_v2	MA_gaps_v1	MA_gaps_v2	MA_extra_v1	MA_extra_v2	MA_conserv_v1	MA_conserv_v2
25	no	yes	0.18	0.41	0.33	0.0	1.0	1.0	0.0	0.13	0.01	0.01	1.0	0.97
12	no	yes	0.37	0.5	0.38	0.3	1.0	1.0	0.31	0.24	0.05	0.07	1.0	0.92
-25	no	no	0.02	0.02	0.0	0.0	1.0	1.0	0.08	0.3	0.01	0.04	0.99	0.94
-25	yes	yes	0.34	0.2	0.0	0.0	1.0	1.0	0.14	0.41	0.0	0.0	1.0	1.0
-25	yes	yes	0.14	0.15	0.0	0.0	1.0	1.0	0.07	0.04	0.04	0.01	0.95	0.68
0	yes	yes	0.21	0.27	0.0	0.0	1.0	1.0	0.02	0.02	0.0	0.0	0.93	1.0
12	yes	yes	0.01	0.47	0.0	0.12	1.0	1.0	0.15	0.02	0.0	0.03	0.97	1.0
25	yes	yes	0.39	0.44	-0.79	-0.76	1.0	1.0	0.03	0.05	0.0	0.0	0.65	1.0
12	no	no	0.27	0.01	0.0	0.0	1.0	1.0	0.3	0.12	0.0	0.03	1.0	1.0
0	no	no	0.06	0.06	0.45	0.52	1.0	1.0	0.26	0.27	0.02	0.02	1.0	1.0
25	no	yes	0.19	0.47	0.0	0.0	1.0	1.0	0.18	0.06	0.0	0.03	0.96	1.0
0	yes	yes	0.31	0.32	-0.54	-0.36	1.0	1.0	0.0	0.0	0.01	0.01	1.0	1.0
0	yes	yes	0.42	0.31	0.0	0.03	1.0	1.0	0.02	0.01	0.01	0.0	1.0	0.95
-25	no	no	0.08	0.07	0.0	0.0	1.0	1.0	0.04	0.23	0.01	0.01	1.0	1.0
0	yes	yes	0.11	0.13	-0.27	-0.2	1.0	1.0	0.0	0.0	0.01	0.02	1.0	1.0
-25	yes	yes	0.32	0.36	0.0	0.0	1.0	1.0	0.03	0.21	0.0	0.0	0.98	0.96
0	yes	yes	0.14	0.11	-0.03	-0.65	0.06	0.13	0.0	0.06	0.01	0.0	0.99	1.0
-12	no	yes	0.05	0.18	0.0	0.0	1.0	1.0	0.02	0.04	0.05	0.01	1.0	0.63
0	yes	yes	0.39	0.46	0.04	-0.02	0.0	0.0	0.15	0.14	0.02	0.0	1.0	1.0
-25	yes	yes	0.16	0.16	0.0	0.0	1.0	1.0	0.0	0.35	0.0	0.18	0.91	1.0
12	no	yes	0.34	0.38	0.26	0.31	1.0	1.0	0.04	0.04	0.04	0.05	1.0	1.0
0	no	no	0.13	0.15	-0.11	-0.08	1.0	1.0	0.11	0.07	0.01	0.01	0.91	1.0
13	no	no	0.06	0.26	0.0	0.0	1.0	1.0	0.01	0.0	0.0	0.0	1.0	0.97
-25	yes	yes	0.26	0.37	-0.2	-0.17	1.0	1.0	0.0	0.47	0.01	0.03	1.0	0.83
0	yes	yes	0.37	0.35	-0.03	-0.04	1.0	1.0	0.0	0.0	0.02	0.02	1.0	1.0
0	no	no	0.28	0.3	0.0	0.0	1.0	1.0	0.0	0.05	0.03	0.0	1.0	1.0
12	no	yes	0.36	0.43	-0.18	-0.22	0.06	0.06	0.15	0.15	0.0	0.0	0.98	0.98
0	yes	yes	0.46	0.49	-0.47	-0.24	1.0	1.0	0.01	0.03	0.0	0.0	0.96	1.0
0	yes	yes	0.36	0.41	-0.04	-0.05	1.0	1.0	0.03	0.03	0.0	0.0	1.0	1.0
0	yes	yes	0.31	0.48	0.0	0.0	1.0	1.0	0.03	0.02	0.0	0.01	1.0	0.96
-25	yes	no	0.34	0.16	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.01	0.97	1.0
0	no	no	0.05	0.06	0.0	-1.88	1.0	1.0	0.15	0.13	0.0	0.0	0.88	0.95
0	no	no	0.07	0.07	0.0	0.0	1.0	1.0	0.41	0.38	0.0	0.0	0.94	1.0
50	no	yes	0.08	0.49	-0.4	0.0	1.0	1.0	0.34	0.04	0.0	0.01	1.0	1.0
50	no	yes	0.15	0.44	-0.02	-0.15	1.0	1.0	0.21	0.05	0.0	0.0	1.0	1.0
0	no	no	0.01	0.08	0.0	0.0	1.0	1.0	0.0	0.05	0.06	0.03	1.0	0.98
13	no	yes	0.19	0.18	0.0	0.0	1.0	1.0	0.16	0.0	0.03	0.0	0.91	1.0
50	no	yes	0.12	0.41	0.0	0.09	1.0	1.0	0.22	0.07	0.0	0.0	0.89	1.0
0	yes	yes	0.37	0.33	0.0	0.0	1.0	1.0	0.07	0.07	0.0	0.0	0.89	0.87
0	no	no	0.16	0.14	-0.14	0.0	1.0	1.0	0.03	0.05	0.0	0.06	0.94	1.0
25	no	yes	0.13	0.36	0.0	0.0	1.0	1.0	0.07	0.03	0.0	0.01	0.99	1.0
-13	yes	no	0.04	0.06	0.0	0.0	1.0	1.0	0.04	0.1	0.0	0.0	0.95	0.94
13	no	yes	0.02	0.16	0.0	0.0	1.0	1.0	0.12	0.1	0.01	0.01	0.99	0.8
0	no	no	0.01	0.01	0.0	-0.13	1.0	1.0	0.65	0.66	0.01	0.02	1.0	1.0
37	no	yes	0.45	0.42	0.0	0.01	1.0	1.0	0.29	0.0	0.0	0.01	0.88	0.98
0	no	yes	0.01	0.43	0.0	-0.59	1.0	1.0	0.11	0.14	0.0	0.25	0.83	1.0
-12	yes	no	0.42	0.23	0.17	0.28	1.0	1.0	0.0	0.0	0.01	0.0	1.0	1.0
0	yes	yes	0.47	0.43	-0.0	-0.01	1.0	1.0	0.01	0.01	0.0	0.0	1.0	0.93
0	no	no	0.13	0.18	-0.09	-0.14	1.0	1.0	0.16	0.12	0.0	0.0	0.94	0.96
0	yes	yes	0.39	0.35	-0.1	-0.08	1.0	1.0	0.01	0.0	0.0	0.0	0.98	0.96
0	yes	no	0.11	0.22	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.13	0.99	1.0
-25	yes	no	0.39	0.2	0.0	0.0	1.0	1.0	0.02	0.0	0.0	0.02	1.0	1.0
25	no	yes	0.04	0.21	0.0	0.0	1.0	1.0	0.55	0.09	0.0	0.41	1.0	0.89
0	yes	yes	0.25	0.26	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.98
-13	yes	no	0.04	0.04	-0.08	-0.04	1.0	1.0	0.01	0.01	0.0	0.0	1.0	0.99
25	no	yes	0.07	0.24	0.0	0.0	1.0	1.0	0.02	0.01	0.02	0.01	1.0	0.92
-25	yes	no	0.47	0.04	-0.13	0.0	1.0	1.0	0.08	0.0	0.03	0.1	1.0	1.0
0	yes	yes	0.45	0.27	-0.24	-0.36	1.0	1.0	0.05	0.12	0.0	0.0	1.0	0.88
0	no	no	0.1	0.09	0.0	0.0	1.0	1.0	0.06	0.06	0.01	0.03	1.0	1.0
0	no	no	0.05	0.05	0.0	0.0	1.0	1.0	0.38	0.2	0.0	0.0	1.0	0.54
12	no	yes	0.27	0.25	0.0	0.0	1.0	1.0	0.03	0.02	0.0	0.0	0.98	1.0
25	no	no	0.0	0.04	0.0	0.0	1.0	1.0	0.5	0.1	0.0	0.0	0.64	0.81
0	yes	yes	0.42	0.48	0.0	0.0	1.0	1.0	0.01	0.0	0.0	0.0	0.98	1.0
0	no	no	0.06	0.04	0.0	0.0	1.0	1.0	0.41	0.43	0.01	0.0	0.99	0.65
12	yes	yes	0.09	0.26	-0.62	-0.52	1.0	1.0	0.01	0.02	0.04	0.0	1.0	1.0
0	no	no	0.11	0.05	0.0	0.0	1.0	1.0	0.07	0.12	0.01	0.0	0.79	0.77
0	yes	no	0.48	0.05	0.0	-0.03	1.0	1.0	0.23	0.06	0.0	0.04	0.95	1.0
0	yes	yes	0.23	0.26	0.0	0.0	1.0	1.0	0.04	0.04	0.0	0.0	1.0	1.0
50	no	yes	0.04	0.29	0.0	0.0	1.0	1.0	0.29	0.0	0.01	0.0	0.68	1.0
0	yes	yes	0.39	0.4	-0.15	-0.11	1.0	1.0	0.02	0.0	0.01	0.01	1.0	1.0
50	no	yes	0.04	0.37	-0.41	-0.05	1.0	1.0	0.75	0.04	0.0	0.02	0.7	1.0
0	yes	yes	0.41	0.46	0.0	0.0	1.0	1.0	0.04	0.18	0.03	0.02	1.0	0.92
13	no	yes	0.05	0.15	0.0	-0.0	1.0	1.0	0.16	0.05	0.02	0.02	0.89	1.0
-13	yes	no	0.13	0.15	0.0	0.0	1.0	1.0	0.05	0.12	0.0	0.0	1.0	1.0
50	no	yes	0.02	0.48	0.0	0.0	1.0	1.0	0.37	0.01	0.0	0.01	0.75	0.92
-25	yes	yes	0.35	0.36	-0.06	0.0	1.0	1.0	0.09	0.31	0.0	0.03	0.97	0.97
38	no	yes	0.08	0.13	0.0	-1.54	0.5	1.0	0.37	0.01	0.0	0.01	0.96	0.93
0	no	no	0.02	0.02	0.0	0.0	1.0	1.0	0.39	0.39	0.0	0.0	1.0	0.98
-12	yes	yes	0.34	0.14	0.0	-0.07	1.0	1.0	0.08	0.15	0.02	0.0	1.0	0.97
13	no	no	0.1	0.25	0.0	0.0	1.0	1.0	0.17	0.04	0.0	0.0	0.99	1.0
0	yes	yes	0.46	0.48	0.03	0.04	1.0	1.0	0.1	0.15	0.01	0.01	0.85	0.87
0	yes	yes	0.46	0.47	-0.37	-0.35	1.0	1.0	0.12	0.12	0.0	0.02	0.99	1.0
0	no	no	0.16	0.13	-0.45	0.0	1.0	1.0	0.76	0.79	0.0	0.0	0.93	0.95
0	yes	no	0.11	0.27	-0.02	-0.09	1.0	1.0	0.02	0.09	0.01	0.02	1.0	0.89
25	yes	yes	0.34	0.2	0.0	0.0	1.0	1.0	0.25	0.2	0.02	0.01	1.0	1.0
25	no	yes	0.17	0.21	0.0	0.0	1.0	1.0	0.03	0.0	0.0	0.0	1.0	0.98
-13	yes	no	0.08	0.08	0.0	-0.12	1.0	1.0	0.31	0.28	0.01	0.0	0.89	0.95
0	no	yes	0.28	0.08	0.0	0.0	1.0	1.0	0.1	0.0	0.06	0.06	0.89	1.0
0	no	no	0.27	0.27	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.97	0.96
0	yes	yes	0.23	0.28	-0.07	-0.04	1.0	1.0	0.03	0.02	0.0	0.0	0.99	1.0
25	no	no	0.07	0.07	-0.49	-0.56	1.0	1.0	0.41	0.08	0.0	0.0	1.0	1.0
0	yes	yes	0.33	0.27	-0.48	-0.45	1.0	1.0	0.03	0.03	0.01	0.02	0.88	0.91
0	no	no	0.02	0.01	0.0	0.03	1.0	1.0	0.36	0.41	0.0	0.0	0.97	0.87
50	no	yes	0.02	0.38	0.0	-0.02	1.0	1.0	0.44	0.01	0.0	0.0	0.7	1.0
0	no	no	0.1	0.03	-3.11	0.0	1.0	1.0	0.08	0.17	0.03	0.01	0.99	0.96
0	no	no	0.12	0.14	0.06	0.07	1.0	1.0	0.0	0.0	0.05	0.12	1.0	1.0
-25	yes	yes	0.17	0.11	-1.08	-2.61	1.0	1.0	0.14	0.22	0.0	0.0	1.0	1.0
25	no	yes	0.02	0.4	0.0	0.0	1.0	1.0	0.27	0.01	0.0	0.7	0.9	1.0
-25	yes	yes	0.45	0.46	0.0	0.0	1.0	1.0	0.0	0.05	0.0	0.34	0.95	1.0
50	no	yes	0.01	0.23	0.0	-0.0	1.0	1.0	0.4	0.18	0.0	0.01	0.83	1.0
-13	yes	no	0.04	0.03	0.0	0.0	1.0	1.0	0.06	0.19	0.0	0.0	0.85	0.88
50	no	yes	0.01	0.28	0.0	0.0	1.0	1.0	0.48	0.0	0.0	0.0	0.66	0.98
38	no	no	0.0	0.21	0.0	0.0	1.0	1.0	0.28	0.16	0.01	0.02	0.92	0.96
50	no	yes	0.02	0.46	0.0	0.0	1.0	0.06	0.73	0.07	0.0	0.04	0.95	1.0
25	no	no	0.0	0.01	0.0	0.0	1.0	1.0	0.42	0.06	0.0	0.0	0.68	0.98
25	no	yes	0.07	0.28	0.0	0.0	1.0	1.0	0.0	0.0	0.11	0.0	1.0	1.0
-12	yes	no	0.46	0.42	0.0	0.0	1.0	1.0	0.01	0.01	0.03	0.06	1.0	1.0
0	yes	yes	0.35	0.38	0.0	0.0	1.0	1.0	0.01	0.01	0.02	0.01	1.0	0.86
12	yes	yes	0.0	0.48	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
-25	no	no	0.02	0.02	0.0	0.0	1.0	1.0	0.04	0.16	0.0	0.04	1.0	0.67
0	yes	yes	0.49	0.47	-0.41	-0.35	1.0	1.0	0.04	0.03	0.0	0.0	1.0	0.84
0	no	no	0.02	0.01	0.0	0.0	1.0	1.0	0.76	0.77	0.0	0.0	1.0	0.11
38	no	yes	0.04	0.13	-0.03	0.05	1.0	1.0	0.53	0.0	0.0	0.0	0.62	0.95
0	yes	yes	0.46	0.43	-0.31	-0.29	1.0	1.0	0.03	0.02	0.0	0.0	1.0	0.98
0	no	no	0.05	0.03	0.0	0.0	1.0	1.0	0.0	0.05	0.2	0.04	0.82	0.86
0	yes	yes	0.24	0.38	0.0	0.0	1.0	1.0	0.06	0.0	0.01	0.0	1.0	1.0
12	yes	yes	0.11	0.27	0.0	0.0	1.0	1.0	0.06	0.03	0.08	0.0	1.0	1.0
0	yes	yes	0.1	0.06	0.0	0.0	1.0	1.0	0.01	0.05	0.0	0.0	0.96	0.96
12	no	no	0.21	0.04	0.0	-1.0	0.06	1.0	0.38	0.0	0.04	0.05	0.99	1.0
0	yes	yes	0.14	0.19	0.0	0.0	1.0	1.0	0.07	0.07	0.04	0.02	1.0	1.0
38	no	no	0.07	0.22	0.0	0.0	1.0	1.0	0.28	0.13	0.0	0.0	0.74	0.95
0	yes	yes	0.07	0.03	0.0	0.0	1.0	1.0	0.3	0.44	0.0	0.0	1.0	1.0
25	no	yes	0.08	0.29	0.0	0.0	1.0	1.0	0.05	0.06	0.06	0.0	0.98	1.0
0	yes	yes	0.22	0.22	0.07	0.07	0.13	0.13	0.0	0.0	0.01	0.0	1.0	1.0
-25	yes	yes	0.26	0.33	0.0	0.0	1.0	1.0	0.02	0.36	0.0	0.01	1.0	0.98
0	yes	yes	0.3	0.33	0.0	0.0	1.0	1.0	0.02	0.01	0.01	0.02	1.0	1.0
25	no	yes	0.0	0.45	0.0	-0.03	1.0	1.0	0.5	0.01	0.0	0.0	1.0	0.73
0	yes	yes	0.36	0.31	-0.47	-0.58	1.0	1.0	0.03	0.03	0.01	0.04	1.0	1.0
-25	no	no	0.03	0.19	0.0	0.0	1.0	1.0	0.11	0.21	0.0	0.0	1.0	1.0
-12	no	no	0.11	0.29	-0.18	-0.13	1.0	1.0	0.18	0.05	0.0	0.01	0.87	0.79
0	yes	yes	0.34	0.25	0.0	0.0	1.0	1.0	0.06	0.02	0.0	0.01	0.96	0.88
25	no	yes	0.0	0.28	0.0	0.0	1.0	1.0	0.81	0.29	0.0	0.09	0.5	0.99
0	yes	yes	0.32	0.31	0.0	0.0	1.0	1.0	0.04	0.01	0.02	0.0	0.99	1.0
0	yes	yes	0.34	0.41	0.0	0.0	1.0	1.0	0.0	0.0	0.16	0.06	1.0	0.88
0	yes	yes	0.13	0.06	-1.01	-0.23	1.0	1.0	0.1	0.14	0.01	0.01	0.94	0.98
13	no	no	0.0	0.23	0.0	0.0	1.0	1.0	0.11	0.05	0.0	0.0	0.88	0.9
0	no	no	0.0	0.0	0.0	0.0	1.0	1.0	0.52	0.57	0.0	0.01	0.95	0.88
13	no	no	0.02	0.4	0.0	0.04	1.0	1.0	0.07	0.03	0.0	0.04	1.0	1.0
0	yes	no	0.11	0.27	0.0	0.0	1.0	1.0	0.01	0.05	0.01	0.0	0.98	0.92
-25	no	no	0.04	0.01	0.0	0.0	1.0	1.0	0.14	0.54	0.11	0.02	0.9	0.96
-25	yes	yes	0.44	0.48	-0.94	0.44	1.0	1.0	0.0	0.1	0.0	0.03	0.95	0.93
0	no	no	0.19	0.15	0.01	-0.03	1.0	1.0	0.2	0.25	0.0	0.0	1.0	1.0
0	yes	yes	0.12	0.13	0.0	0.0	1.0	1.0	0.02	0.02	0.0	0.0	0.99	0.97
-13	yes	no	0.05	0.08	0.0	0.0	1.0	1.0	0.07	0.08	0.0	0.01	1.0	0.95
25	no	yes	0.04	0.47	0.0	0.0	1.0	1.0	0.12	0.1	0.0	0.1	0.99	0.9
0	yes	yes	0.15	0.15	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
0	no	no	0.13	0.13	-1.05	-1.06	1.0	1.0	0.19	0.08	0.01	0.17	1.0	1.0
-12	yes	no	0.44	0.36	-0.75	0.0	1.0	1.0	0.04	0.08	0.02	0.01	1.0	1.0
0	no	no	0.06	0.1	-1.51	0.0	0.13	0.06	0.02	0.11	0.01	0.0	1.0	1.0
0	yes	yes	0.29	0.43	-0.36	-0.5	1.0	1.0	0.05	0.02	0.0	0.0	1.0	1.0
-25	yes	no	0.36	0.15	0.0	0.0	1.0	1.0	0.0	0.12	0.0	0.0	1.0	0.86
0	no	no	0.27	0.28	0.0	0.0	1.0	1.0	0.07	0.07	0.0	0.0	1.0	1.0
13	no	no	0.06	0.28	-0.31	-0.57	1.0	1.0	0.41	0.23	0.0	0.0	0.92	0.96
38	no	yes	0.02	0.11	0.0	0.0	1.0	1.0	0.65	0.0	0.0	0.01	0.99	1.0
0	yes	yes	0.19	0.18	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.99	1.0
0	yes	yes	0.18	0.17	0.0	0.0	1.0	1.0	0.02	0.05	0.0	0.0	1.0	1.0
0	yes	yes	0.22	0.27	-0.01	0.0	1.0	1.0	0.04	0.18	0.0	0.0	1.0	0.93
0	yes	yes	0.32	0.35	-0.02	-0.01	1.0	0.5	0.01	0.0	0.0	0.0	1.0	1.0
37	yes	yes	0.04	0.27	0.0	-0.19	1.0	1.0	0.37	0.11	0.01	0.0	0.76	1.0
0	no	yes	0.21	0.18	0.0	0.0	1.0	1.0	0.08	0.07	0.01	0.0	0.88	0.92
-12	yes	yes	0.28	0.07	-0.6	-0.48	1.0	1.0	0.12	0.02	0.01	0.0	0.99	0.91
0	no	no	0.02	0.03	0.01	0.01	1.0	1.0	0.6	0.56	0.0	0.0	0.45	0.35
-25	yes	yes	0.29	0.21	0.04	0.08	1.0	1.0	0.01	0.68	0.0	0.0	1.0	0.9
0	yes	yes	0.4	0.47	-0.16	-0.27	1.0	1.0	0.13	0.02	0.0	0.0	0.87	0.88
25	no	yes	0.18	0.22	0.0	0.0	1.0	1.0	0.13	0.05	0.0	0.01	0.93	0.96
38	no	yes	0.01	0.07	0.0	0.0	1.0	1.0	0.57	0.01	0.0	0.01	0.52	0.99
12	no	yes	0.27	0.34	0.0	0.0	1.0	1.0	0.17	0.04	0.0	0.01	0.98	0.98
25	no	no	0.0	0.04	0.0	1.45	1.0	1.0	0.39	0.04	0.0	0.0	0.9	1.0
0	yes	yes	0.41	0.4	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.99	0.99
0	no	no	0.0	0.0	0.0	0.0	1.0	1.0	0.67	0.61	0.0	0.0	0.29	0.37
0	no	no	0.0	0.0	0.0	0.0	1.0	1.0	0.3	0.34	0.0	0.0	0.7	0.68
-50	no	no	0.15	0.07	0.0	0.64	1.0	1.0	0.18	0.6	0.02	0.01	0.99	1.0
0	no	no	0.07	0.08	0.0	0.0	1.0	1.0	0.66	0.65	0.0	0.0	1.0	1.0
12	yes	yes	0.08	0.48	NaN	-0.11	1.0	1.0	0.17	0.05	0.0	0.0	0.85	0.84
25	no	yes	0.05	0.25	0.0	0.0	1.0	1.0	0.15	0.0	0.0	0.0	0.89	0.95
12	yes	yes	0.01	0.31	-0.64	-0.03	1.0	1.0	0.12	0.0	0.0	0.0	0.91	1.0
0	no	no	0.09	0.09	0.0	0.0	1.0	1.0	0.06	0.12	0.01	0.0	0.8	0.99
13	no	yes	0.03	0.16	0.0	0.0	1.0	1.0	0.1	0.01	0.0	0.0	0.89	0.97
25	no	no	0.03	0.07	0.42	0.0	1.0	1.0	0.39	0.34	0.0	0.0	1.0	1.0
0	no	yes	0.13	0.43	0.0	0.0	1.0	1.0	0.1	0.08	0.02	0.34	1.0	1.0
0	yes	yes	0.48	0.26	0.0	0.0	1.0	1.0	0.07	0.01	0.02	0.0	0.98	1.0
-13	no	no	0.22	0.14	0.0	0.0	1.0	1.0	0.4	0.41	0.0	0.0	0.83	0.81
0	no	no	0.3	0.41	0.0	0.03	0.25	1.0	0.08	0.1	0.0	0.02	1.0	0.81
-25	yes	no	0.2	0.1	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.04	0.97	1.0
0	no	no	0.02	0.03	0.0	0.0	1.0	1.0	0.05	0.03	0.01	0.02	0.95	0.95
25	no	yes	0.03	0.32	0.0	0.0	1.0	1.0	0.33	0.02	0.0	0.65	0.0	1.0
25	no	yes	0.02	0.43	-0.05	0.11	1.0	1.0	0.3	0.01	0.0	0.59	0.83	1.0
0	yes	no	0.38	0.0	0.0	0.0	0.0	0.25	0.15	0.16	0.14	0.02	0.9	0.97
-50	yes	no	0.32	0.0	0.0	-0.64	1.0	1.0	0.0	0.71	0.09	0.0	1.0	0.25
25	no	yes	0.05	0.48	0.0	0.0	1.0	1.0	0.13	0.02	0.0	0.0	0.9	0.95
25	no	yes	0.07	0.43	0.0	0.0	1.0	1.0	0.06	0.01	0.02	0.0	1.0	1.0
25	no	no	0.16	0.05	0.0	0.0	1.0	1.0	0.6	0.01	0.0	0.0	0.41	1.0
-13	yes	no	0.14	0.14	-0.33	0.0	1.0	1.0	0.04	0.02	0.0	0.01	1.0	0.98
0	yes	yes	0.22	0.46	0.0	0.0	1.0	1.0	0.0	0.02	0.02	0.0	1.0	1.0
0	yes	yes	0.01	0.02	0.0	0.0	1.0	1.0	0.37	0.3	0.0	0.21	0.07	0.0
0	no	no	0.02	0.02	0.0	0.0	1.0	1.0	0.27	0.26	0.0	0.0	0.71	1.0
25	no	no	0.03	0.09	0.0	0.09	1.0	1.0	0.39	0.11	0.0	0.0	1.0	0.89
0	no	no	0.03	0.0	0.0	0.0	1.0	1.0	0.55	0.73	0.0	0.0	0.99	0.69
-13	yes	no	0.17	0.07	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.02	1.0	1.0
25	no	no	0.05	0.06	0.0	0.0	1.0	1.0	0.3	0.02	0.0	0.05	1.0	0.98
12	yes	yes	0.14	0.48	0.0	-0.54	1.0	1.0	0.3	0.04	0.0	0.0	0.71	0.79
25	no	no	0.19	0.15	0.0	0.0	1.0	1.0	0.5	0.07	0.0	0.02	1.0	0.93
12	yes	yes	0.15	0.48	0.0	0.0	1.0	1.0	0.11	0.02	0.0	0.0	0.94	0.94
12	no	yes	0.29	0.33	0.0	0.0	1.0	1.0	0.08	0.03	0.0	0.0	1.0	0.99
13	yes	yes	0.31	0.09	-0.18	-1.68	1.0	1.0	0.2	0.0	0.0	0.0	0.98	0.99
12	yes	yes	0.02	0.46	0.0	0.0	1.0	1.0	0.15	0.02	0.0	0.0	0.98	0.91
0	no	no	0.4	0.47	-0.03	0.0	1.0	1.0	0.07	0.09	0.0	0.0	1.0	0.88
0	no	no	0.03	0.02	-0.4	-0.46	1.0	1.0	0.07	0.03	0.09	0.02	1.0	1.0
50	no	yes	0.12	0.45	-0.01	-0.0	1.0	1.0	0.5	0.05	0.0	0.02	1.0	0.9
12	no	yes	0.21	0.48	-0.02	-0.01	1.0	1.0	0.06	0.07	0.0	0.08	1.0	0.99
13	no	no	0.01	0.31	0.0	-0.15	1.0	1.0	0.16	0.01	0.0	0.0	0.98	1.0
